feature,importance
boy,0.00011047012177847317
kill,0.00011032964311741263
sick,0.00011023997275010751
housing,0.00011005156678129011
war,0.00010979316083648432
probably,0.00010897383012613855
party,0.00010886883418531058
sounds like,0.00010827271170777774
lives,0.00010816052049483324
bitch don,0.00010789252996844958
000,0.0001078318238447948
past,0.00010743742859840039
different,0.00010735901128966105
hard,0.00010715793820722585
called,0.00010661737853557185
hear,0.00010627970776853678
bitches like,0.00010576716164116902
control,0.00010529510794045978
porn,0.00010519862605676955
em,0.00010517931735865217
happy,0.00010443150228895573
game,0.0001037703092885836
kind,0.00010312609022742886
asshole,0.00010310280389293429
hit,0.00010301550349938375
involved,0.00010292351663120463
dead,0.00010233928118731922
https,0.0001021376899005843
ipad sex,0.00010139189886269876
bitch 8221,0.00010057469724668703
brown,0.00010032111060874167
goes,9.919069914571574e-05
straight,9.915680126674447e-05
tf,9.902783790131018e-05
situation,9.845795549120202e-05
mean,9.830198198731193e-05
gone,9.763101554324462e-05
whore,9.728598124947077e-05
charlie crist,9.723367606194394e-05
rights,9.71583581021029e-05
isis,9.629447747791513e-05
oh,9.624029461983622e-05
redneck,9.571816424389525e-05
jeter,9.49443306724396e-05
trust,9.482088530574419e-05
thats,9.460711673343325e-05
disagree,9.436512391111277e-05
woman,9.430620823929393e-05
example,9.346185908533757e-05
moron,9.293705743624197e-05
swear,9.243276507557865e-05
head,9.153167021690507e-05
hey,9.100756884590448e-05
pretty,9.097199866458094e-05
matter,9.073201285060652e-05
bitch like,9.020172370184761e-05
flappy bird,8.998776249869428e-05
128557 128557,8.980902563444217e-05
128525,8.928581034590161e-05
tweet,8.924315404830968e-05
phone,8.875838088615628e-05
liberal,8.874978392067265e-05
misogynist,8.837961302145311e-05
having,8.799861146928958e-05
citizens,8.707283143785252e-05
leave,8.703337373493715e-05
porn android,8.685996203353307e-05
play,8.66253131979428e-05
allowed,8.660936365643661e-05
funny,8.627527775344631e-05
folks,8.606808539046884e-05
stfu,8.582411810360216e-05
america,8.58131632072249e-05
ignorance,8.581145773982949e-05
dem,8.581052041843097e-05
week,8.570861037850451e-05
trash http,8.490305302770978e-05
9996,8.476833267206744e-05
facts,8.475587522556625e-05
remember,8.471338158878863e-05
baby,8.454885699023152e-05
hair,8.449881055755078e-05
video,8.428586566491606e-05
20,8.428223004856228e-05
cool,8.413943681754604e-05
act,8.413546670789264e-05
looks like,8.39509362663974e-05
given,8.383527400075073e-05
amazing,8.359293939039816e-05
making,8.357758697891608e-05
don know,8.253661393882182e-05
jerk,8.237252794939055e-05
worse,8.22911708534848e-05
high,8.226934095612352e-05
night,8.197534940037777e-05
friends,8.195706156215598e-05
fake,8.183252128869487e-05
literally,8.151316594467867e-05
broke,8.149371612733803e-05
ask,8.117415739464851e-05
sole,8.099959572487025e-05
128526,8.096574457827169e-05
negro,8.057727962271e-05
alaskans,8.053621792798093e-05
fools,8.023648739520949e-05
liar,8.006747408812467e-05
text,7.98199787882829e-05
needs,7.964484626373431e-05
experience,7.964196116346412e-05
rich,7.89053653453208e-05
pussy like,7.886864730060849e-05
nigs,7.870539015904746e-05
reading,7.858141523893987e-05
says,7.851899348640988e-05
wait,7.846942123233826e-05
bitch got,7.841696769238568e-05
160,7.835315503186584e-05
trying,7.832723330118222e-05
android,7.82463138704747e-05
god,7.813560103808463e-05
children,7.806006732172028e-05
health,7.795572305283018e-05
angry,7.789442585413671e-05
128129,7.72092855989462e-05
saying,7.665761767364859e-05
seriously,7.658315221468097e-05
bitch nigga,7.629285982534869e-05
killed,7.604042147698977e-05
crackers,7.59814572804772e-05
gets,7.57988470554513e-05
looking,7.561931414763894e-05
looks,7.555517407840426e-05
wow,7.53196292239291e-05
land,7.47734719388849e-05
loser,7.447474119748921e-05
media,7.441236666138905e-05
ima,7.433069259179869e-05
kids,7.397782752355916e-05
thought,7.374551722269117e-05
bitches love,7.370368531264482e-05
ducks,7.358089451327733e-05
force,7.345470832735549e-05
members,7.323410348451132e-05
people like,7.320456767221465e-05
costs,7.277226721801065e-05
disgusting,7.256304537578885e-05
needed,7.25174311730277e-05
iphone,7.249665992339823e-05
wish,7.217221192053895e-05
hypocrisy,7.214136224337606e-05
stadium,7.211378903734987e-05
128527,7.163914140447969e-05
bc,7.109055215628026e-05
wants,7.102999963356115e-05
hoes http,7.081226252621691e-05
wars,7.079080894482044e-05
pure,7.032071038824772e-05
try,7.031020085637081e-05
bae,7.02450103080328e-05
democrat,7.022576112574198e-05
die,7.011194007172555e-05
run,7.010103363193545e-05
left,7.001856773079402e-05
budget,6.956453018949268e-05
legislators,6.948559355304779e-05
hurt,6.912605570763202e-05
criminal,6.911099982646546e-05
parasites,6.88897986034086e-05
9996 65039,6.849254767273116e-05
white people,6.790766771406343e-05
men,6.764358451062839e-05
posted,6.729046621232862e-05
level,6.719715493917812e-05
boys,6.674956822201409e-05
pull,6.639804620701155e-05
county,6.639274692546595e-05
loss,6.626821978573067e-05
slope,6.624617871419632e-05
nah,6.62437157866255e-05
bitch 128514,6.606224729296923e-05
awesome,6.601635748401988e-05
group,6.576259391473964e-05
failed,6.575909069029838e-05
met,6.559697299975908e-05
9995,6.54127032713157e-05
youre,6.538237987947628e-05
instagram,6.515447441490637e-05
128128,6.484075744462194e-05
food,6.482741072140272e-05
acting,6.459048212926405e-05
open,6.445894307591212e-05
watch,6.41536924273125e-05
muslim,6.414926113573187e-05
don think,6.402521065678506e-05
murder,6.39671244213951e-05
worst,6.385683450163132e-05
tweets,6.38515222244463e-05
ain bitch,6.383332549959491e-05
son,6.371372202705456e-05
told,6.368242394685724e-05
crying,6.364343318140592e-05
conservative,6.36432592092407e-05
ipad,6.352737629259638e-05
charges,6.342890972029827e-05
everybody,6.336084912549275e-05
star,6.328703262045367e-05
oreos,6.306684170293705e-05
companies,6.301604575627202e-05
seen,6.300799377203481e-05
house,6.271097786441272e-05
campaign,6.255126275507656e-05
tonight,6.247636104518708e-05
mom,6.242360914218103e-05
complete,6.219591764586864e-05
wife,6.214135611682617e-05
blame,6.199910406451639e-05
park,6.181716504241404e-05
gop,6.134404916123341e-05
foolish,6.129871855462008e-05
lead,6.117665289208905e-05
area,6.114503129996651e-05
derek,6.090811845818828e-05
stay,6.0431437241226655e-05
okay,6.039268288978235e-05
realize,6.032876173584117e-05
tip,6.017604208868019e-05
sleep,6.006974753245447e-05
joke,5.9606063262366426e-05
don fuck,5.935086086985843e-05
shy,5.9330869840126335e-05
thinking,5.91300645099669e-05
prison,5.897892598290384e-05
wouldn,5.8949943026413036e-05
throw,5.86528426093893e-05
society,5.858288459416969e-05
gary,5.819120065747613e-05
gave,5.81619343894618e-05
lose,5.814134810483285e-05
android iphone,5.773517125293717e-05
start,5.768228196414488e-05
church,5.758602308506843e-05
truth,5.7570667103851014e-05
luck,5.7508940210115315e-05
violence,5.717955472899968e-05
went,5.717425831022502e-05
omg,5.701099400086711e-05
governor,5.680832171485526e-05
naw,5.678146708308076e-05
feel like,5.673929198405774e-05
dog,5.673596268826747e-05
biggest,5.6718104029926344e-05
services,5.670709979718496e-05
season,5.6696108558207454e-05
hot,5.656600580158989e-05
fan,5.631170678760125e-05
intelligent,5.621336656010026e-05
cats,5.5740807365851296e-05
perfect,5.5687189190646985e-05
redskins,5.563442985098085e-05
hands,5.5627389440835565e-05
smart,5.558331747880681e-05
coward,5.553231368828495e-05
music,5.540068407299577e-05
eyes,5.526960144698897e-05
draft,5.518393857075995e-05
freedom,5.5023009973844936e-05
supporters,5.488783755355656e-05
chill,5.4866933210758154e-05
birthday,5.4850800230036015e-05
behavior,5.479700251679936e-05
shoot,5.47473396539404e-05
sanders,5.462186321328247e-05
folk,5.4594936109863934e-05
relationship,5.4040342124173946e-05
word,5.398928879293648e-05
fight,5.374950235862035e-05
came,5.3624264690283126e-05
somebody,5.3305660955217734e-05
ok,5.3267799647732596e-05
power,5.2905773657261196e-05
knows,5.284237018575327e-05
racism,5.2465892982103355e-05
fairy,5.243258783624744e-05
lmfao,5.242464001662605e-05
watching,5.234211944587626e-05
dude,5.227358798939633e-05
apes,5.225297904822372e-05
glad,5.216644881719903e-05
ball,5.211252480421981e-05
till,5.206417938273482e-05
females,5.2000184130142486e-05
drunk,5.195857952744375e-05
early,5.193247054085537e-05
cut,5.192226698928302e-05
saw,5.1877337826710337e-05
innocent,5.170804201677907e-05
rg,5.1699266651775205e-05
self,5.1626379245412774e-05
bigoted,5.15859663120826e-05
128557 128514,5.144609117063199e-05
justice,5.141052087071106e-05
green,5.1367473430948515e-05
troll,5.13315692335327e-05
brain,5.095891961958408e-05
human,5.094874298409456e-05
took,5.0936641681363225e-05
buy,5.0927128225807226e-05
close,5.0842824500660676e-05
soon,5.0756707274327463e-05
single,5.0706655409962615e-05
learn,5.0594306709314905e-05
apparently,5.0476381020155574e-05
days,5.04502359249354e-05
taking,5.041307558162219e-05
actions,5.033314723947822e-05
turn,5.016697475663654e-05
thinks,5.010630695765794e-05
weak,5.0001979363490145e-05
clothes,4.990313282658054e-05
bitch ain,4.974867884840952e-05
jihadis,4.965766098052235e-05
follow,4.956571555101726e-05
